Liu,RON,BaoHeTing,XiTing,FangTing,Xiu,MiDu,JiaoTan,S,JiaoTan_2,S_2,S-ZORB.FT_1003.PV,S-ZORB.FC_1101.PV,S-ZORB.PC_6001.PV,S-ZORB.PT_6002.PV,S-ZORB.PC_1301.PV,S-ZORB.FC_1203.PV,S-ZORB.PT_1501.PV,S-ZORB.FT_5201.PV,S-ZORB.TE_1103.DACA,S-ZORB.FT_9002.DACA,S-ZORB.PC_9002.DACA,S-ZORB.PC_3301.DACA,S-ZORB.TE_1501.DACA,S-ZORB.LT_2901.DACA,S-ZORB.ZT_2533.DACA,S-ZORB.FT_2433.DACA,S-ZORB.TE_2401.DACA,S-ZORB.SIS_TE_2802,S-ZORB.TE_5002.DACA,S-ZORB.TE_5006.DACA,S-ZORB.TE_5003.DACA,S-ZORB.TE_5201.DACA,S-ZORB.TE_5101.DACA,S-ZORB.PDT_2704.DACA,S-ZORB.PDC_2702.DACA,S-ZORB.TE_6001.DACA,S-ZORB.FC_5103.DACA,S-ZORB.PC_2401B.DACA,S-ZORB.FT_3701.DACA,S-ZORB.LC_2601.DACA,S-ZORB.TE_2608.DACA,S-ZORB.TE_2603.DACA,S-ZORB.TE_2003.DACA,S-ZORB.PC_2401B.PIDA.OP,S-ZORB.PC_2401.PIDA.OP,S-ZORB.PC_2401.PIDA.SP,S-ZORB.PDT_3002.DACA,S-ZORB.PT_2901.DACA,S-ZORB.PT_7503B.DACA,S-ZORB.PT_7107B.DACA,S-ZORB.PT_1604.DACA,S-ZORB.TE_1605.DACA,S-ZORB.TE_1604.DACA,S-ZORB.TXE_3201A.DACA,S-ZORB.TE_3112.DACA,S-ZORB.FC_5001.DACA,S-ZORB.TC_3102.DACA,S-ZORB.AT-0001.DACA.PV,S-ZORB.AT-0009.DACA.PV,S-ZORB.AT-0010.DACA.PV,S-ZORB.AT-0013.DACA.PV,S-ZORB.TE_2104.DACA.PV,S-ZORB.PT_2106.DACA.PV,S-ZORB.FT_5102.DACA.PV,S-ZORB.TE_1103.DACA.PV,S-ZORB.TE_1104.DACA.PV,S-ZORB.TE_1102.DACA.PV,S-ZORB.TE_1106.DACA.PV,S-ZORB.TE_1107.DACA.PV,S-ZORB.TE_1101.DACA.PV,S-ZORB.CAL.SPEED.PV,S-ZORB.CAL.LEVEL.PV,S-ZORB.CAL_1.CANGLIANG.PV,S-ZORB.FT_1006.DACA.PV,S-ZORB.FT_5204.DACA.PV,S-ZORB.FT_1503.DACA.PV,S-ZORB.FT_1504.DACA.PV
188.0000000000,90.6000000000,53.2300000000,24.4000000000,22.3700000000,61.4871428571,726.0857142857,2.3200000000,7.3000000000,1.8400000000,5.9800000000,46.4816725000,124.9816800000,-0.1290291765,-0.3081664850,3.1319283000,11.8763785000,1.7737124000,117.5144850000,364.8053650000,452.7966200000,0.3882386050,0.3495650750,21.4781125000,3.8480506000,95.0722940000,3.4028385700,311.1377950000,273.2371800000,121.4455850000,139.5331350000,72.3108370000,44.9203445000,52.5818850000,46.2276530000,28.5160615000,392.7098200000,13796.4370000000,1.7642931885,49.3423290000,66.5640665000,421.6276300000,369.3472250000,419.6496850000,28.9315748224,45.7576121599,1.0466267638,15.7310640000,511.1600550000,0.0057448635,3.1452245500,0.1812543100,415.1450050000,417.3852750000,367.6222550000,72.7914145000,2564.2633500000,164.4208750000,0.5214522500,0.4588931550,0.5442456950,1.5573513000,425.7433869848,5.6181371591,69.6065650000,366.9968179091,361.2954834242,425.9295150000,156.0965962424,118.6395946803,136.3000223636,3.3249448000,76.8498525000,2.0454363000,6368.7470000000,233.3108050000,2216.4093500000,1840.1447000000
169.0000000000,90.5000000000,52.3000000000,26.4000000000,21.3000000000,61.8800000000,731.3000000000,2.3700000000,7.3400000000,0.5500000000,4.3800000000,43.8108870000,125.1108000000,-0.1442254300,-0.2779820950,3.1319149500,11.4190750000,1.8960905500,110.8190400000,361.6703100000,470.7347300000,0.3871551600,0.3496984500,21.1607520000,3.8485890000,95.1198125000,3.7163017000,290.2676300000,282.0436450000,121.9972200000,138.8560500000,73.6366430000,49.9613870000,49.1622835000,44.7799060000,28.9252320000,378.9023350000,11375.4760000000,1.6627814400,16.4613489000,67.0906325000,452.1405150000,379.7862000000,415.6768700000,28.9315748224,45.7576121599,1.0466267638,22.7903510000,522.7631250000,0.0071203938,3.1453547000,0.1892353100,411.7786900000,413.9413250000,369.8898450000,74.6745235000,2277.3611000000,171.6167600000,0.5231766400,0.4653089550,0.5410381200,1.5292590000,425.7433869848,5.6181371591,67.1130425000,366.9968179091,361.2954834242,421.5343650000,156.0965962424,118.6395946803,136.3000223636,3.3211691000,76.1844250000,2.0259738500,6360.6453000000,242.3692050000,2370.5874000000,1641.7326000000
177.0000000000,90.7000000000,52.3000000000,26.3142857143,21.3857142857,61.7228571429,729.6142857143,2.4300000000,7.2700000000,1.8900000000,5.8200000000,44.4329555000,124.9446650000,-0.1506751850,-0.3506268600,3.1293821500,11.5725925000,1.8054995000,119.9549350000,364.9424450000,459.3509500000,0.3884460150,0.3501105050,21.2021945000,3.4519517500,101.5512750000,3.5039079700,313.0169500000,274.1666700000,121.4283400000,139.1138200000,73.9420970000,49.7545845000,40.5094260000,48.1029260000,27.8454335000,376.3311700000,7960.7428500000,1.6364596205,19.3320945000,67.7122650000,476.7668050000,401.4462400000,417.8814100000,28.9315748224,45.7576121599,1.0466267638,22.9341865000,530.5253950000,0.0071604629,3.1441983000,0.2000011000,411.5763500000,413.6012500000,366.7718150000,78.4922120000,2117.8925000000,201.8724850000,0.5288693500,0.4540534800,0.5412606300,1.4956406000,425.7433869848,5.6181371591,68.6134270000,366.9968179091,361.2954834242,425.2584200000,156.0965962424,118.6395946803,136.3000223636,3.3195686000,75.9668405000,1.9646958000,6504.9649000000,233.0769250000,2326.4653500000,1600.6757500000
159.0000000000,90.4000000000,52.3000000000,26.1000000000,21.6000000000,61.3300000000,725.4000000000,3.0800000000,7.3500000000,0.9800000000,4.6700000000,50.4176085000,124.9931900000,-0.1504268650,-0.3483980050,3.1306501000,11.7340535000,1.7481217000,119.2924650000,364.9119400000,438.9963900000,0.3858464700,0.3498749050,21.0812830000,2.0549092000,101.4621000000,3.9035428500,300.1078600000,270.0702050000,123.5045450000,139.2139700000,74.0271030000,50.0399840000,40.0135300000,47.8387240000,29.1200410000,376.0563100000,9110.9802000000,1.4818313055,16.2522960000,67.3308160000,470.5445600000,375.1564350000,417.7777900000,28.9315748224,45.7576121599,1.0466267638,25.1860915000,530.3514100000,0.0062568148,3.1449774000,0.1883167250,412.1005000000,413.8424400000,358.5843050000,71.8479915000,2078.1085500000,170.7984950000,0.5315583200,0.4719475000,0.5339916450,1.4936198000,425.7433869848,5.6181371591,69.7143675000,366.9968179091,361.2954834242,424.4061950000,156.0965962424,118.6395946803,136.3000223636,3.2102110000,76.7900425000,2.0390406000,6506.8249500000,238.3499350000,2495.2236000000,1563.7121500000
173.0000000000,89.6000000000,52.2428571429,26.6714285714,21.0857142857,61.3328571429,725.4285714286,2.4500000000,6.5800000000,0.8300000000,4.5200000000,52.7068930000,124.8639850000,-0.1512797950,-0.4596884450,3.1284212500,11.6739130000,1.7055750500,110.9420700000,368.9647800000,401.7518000000,0.3873692550,0.3497151350,21.1315350000,2.0845152000,101.4225850000,4.1644659000,313.6217150000,268.0220000000,123.4737750000,139.2114450000,72.9786375000,49.9008360000,42.7544840000,38.7424185000,27.1506730000,362.3335000000,8756.6961500000,1.5646742850,42.1169380000,68.5377105000,478.3633350000,399.7194600000,420.2474800000,28.9315748224,45.7576121599,1.0466267638,19.3525890000,524.0286750000,0.0065120162,3.1435440000,0.2107548700,411.7948200000,413.7326300000,366.2144350000,78.3558890000,2057.8499500000,203.6756600000,0.5224717500,0.4606176750,0.5418540000,1.5932873500,425.7433869848,5.6181371591,68.5930750000,366.9968179091,361.2954834242,428.5147400000,156.0965962424,118.6395946803,136.3000223636,3.1788315500,76.5395560000,1.9868998500,6560.2422500000,236.5762200000,2807.7891000000,1554.3574000000
163.0000000000,91.0000000000,52.1000000000,28.1000000000,19.8000000000,61.3400000000,725.5000000000,2.3100000000,6.3200000000,0.8800000000,4.8100000000,48.2577155000,125.0422250000,-0.1512872150,-0.4168058700,3.1296826000,12.1417985000,1.7479362000,120.3151000000,367.9162850000,394.7847750000,0.3874835400,0.3499481650,23.2663460000,0.9680198600,101.8405750000,3.2091042000,308.7511300000,280.1175200000,124.7589500000,138.2596850000,70.0663350000,49.9926165000,42.4421705000,49.3379900000,28.8000280000,367.2815150000,9186.7719500000,1.6023757100,30.1499605000,69.6717360000,470.7068900000,406.2536450000,420.1730250000,28.9315748224,45.7576121599,1.0466267638,21.3219475000,523.8057500000,0.0062174866,3.1445000000,0.2133321100,412.1948350000,413.9657750000,361.1307100000,77.7593655000,1940.6934000000,209.0654900000,0.5358598200,0.4616935200,0.5465825600,1.6261446500,425.7433869848,5.6181371591,69.7508100000,366.9968179091,361.2954834242,427.4581550000,156.0965962424,118.6395946803,136.3000223636,3.1905268500,76.7431865000,1.9968999500,4995.8179000000,233.1212050000,2832.0817500000,1419.5726500000
209.0000000000,90.4000000000,51.3571428571,28.4142857143,20.2285714286,61.3400000000,725.5000000000,2.3800000000,6.4233333333,0.6633333333,4.8633333333,47.8877695000,124.9532400000,-0.1510403150,-0.3699880150,3.1302170500,11.8509670000,1.7974426000,109.3000900000,366.4525000000,434.8490000000,0.3874056100,0.3498223700,23.6466850000,0.8789597150,101.7913800000,3.4269982500,311.6133450000,279.2017600000,123.3636200000,137.9485600000,70.4797895000,50.6749890000,34.7710210000,49.6394545000,27.6470270000,372.5495100000,6280.7786500000,1.5952668800,30.4785780000,69.0885545000,484.4279250000,407.7108450000,419.2918450000,28.9315748224,45.7576121599,1.0466267638,21.4003290000,524.9934250000,0.0063910812,3.1443541500,0.2075452700,412.3130750000,414.0941700000,366.4874350000,78.1321770000,1863.9409500000,210.9762400000,0.5291846350,0.4622495900,0.5529983200,1.6266642500,425.7433869848,5.6181371591,68.0209200000,366.9968179091,361.2954834242,426.3754150000,156.0965962424,118.6395946803,136.3000223636,3.1757537000,76.7055875000,1.9515631000,5013.5304000000,236.9148100000,2710.0612500000,1419.0642500000
195.0000000000,90.5000000000,49.5000000000,29.2000000000,21.3000000000,61.3400000000,725.5000000000,3.0000000000,7.8100000000,0.8300000000,4.6800000000,47.5254760000,124.8713400000,-0.1263019265,-0.2732383350,3.1287486500,11.3308145000,1.8220377000,123.4682900000,362.2178000000,405.3924500000,0.3880948450,0.3498010500,23.0816585000,0.4387015153,101.8239050000,3.5275491000,306.9102650000,291.1630050000,125.7314250000,139.7603450000,69.5827535000,54.4238955000,57.2591810000,46.0139000000,28.3336980000,385.6459100000,15596.7595000000,1.4653080150,30.4471305000,68.3941135000,459.7889300000,390.8954850000,416.3871900000,28.9315748224,45.7576121599,1.0466267638,21.2138720000,529.7577850000,0.0064786364,3.1448648500,0.1399691500,412.4197550000,414.5292150000,365.9616400000,76.3346480000,2229.6758000000,195.5859100000,0.5197274950,0.4417782300,0.5254995350,1.5848131000,425.7433869848,5.6181371591,71.9688575000,366.9968179091,361.2954834242,421.7465200000,156.0965962424,118.6395946803,136.3000223636,3.1379050000,76.1579120000,1.9994657500,5085.5480500000,249.0669750000,2378.5758500000,1268.2128500000
165.0000000000,90.4000000000,49.8571428571,29.0714285714,21.0714285714,61.3371428571,725.4428571429,2.3200000000,6.7200000000,0.9300000000,4.9700000000,45.2804220000,124.8475250000,-0.1495066900,-0.3343660200,3.1282185500,11.2780240000,1.6151659000,113.1877550000,364.4422300000,433.0194300000,0.3932970800,0.3501906650,23.1306330000,-0.0012046720,101.8209600000,3.4295262000,304.5207100000,280.8943850000,123.5577750000,139.7524200000,69.8436640000,55.0987745000,54.3012820000,48.4489480000,29.4335475000,380.0820250000,13670.3040000000,1.6381040600,30.2501680000,69.1840645000,463.1457100000,391.2236100000,418.0844250000,28.9315748224,45.7576121599,1.0466267638,20.8604320000,516.1816450000,0.0050363303,3.1446369500,0.1885462950,412.6303350000,414.5172000000,362.9974700000,74.4432180000,2334.8247500000,206.7791250000,0.5150363950,0.4724109050,0.5496788200,1.5698674500,425.7433869848,5.6181371591,70.0027015000,366.9968179091,361.2954834242,424.3109650000,156.0965962424,118.6395946803,136.3000223636,3.1472846000,76.5276335000,2.0390993500,5089.8559500000,236.4778100000,2674.4291500000,1326.7278000000
159.0000000000,90.2000000000,50.2142857143,28.9428571429,20.8428571429,61.3342857143,725.3857142857,2.3200000000,6.7200000000,0.9500000000,4.7600000000,51.6357190000,124.8621150000,-0.1512822250,-0.3741706050,3.1292952000,11.6863755000,1.7956896500,126.0657600000,365.1602800000,404.8850050000,0.3885844200,0.3502728350,23.1181670000,-0.0006300707,101.7881450000,3.8521631500,313.5348800000,283.2768700000,124.7027100000,139.4476050000,70.4750795000,52.7463045000,57.8496710000,44.7282080000,28.9812950000,376.7372200000,17662.7490000000,1.5445472950,39.2405035000,69.1441345000,474.5038650000,397.9289350000,417.9774650000,28.9315748224,45.7576121599,1.0466267638,18.7164950000,521.2549950000,0.0046623976,3.1464185500,0.1874835050,412.1826050000,413.9336300000,364.2996150000,77.8934000000,2434.0240000000,196.6293900000,0.5252162650,0.4735979650,0.5500129650,1.6370297500,425.7433869848,5.6181371591,71.4502085000,366.9968179091,361.2954834242,424.6294850000,156.0965962424,118.6395946803,136.3000223636,3.1432359000,76.5346825000,2.0247724000,5035.9411000000,228.4491500000,2561.5901500000,1279.7037500000
