Index,Time,RON_Loss,S,RON,Liu,BaoHeTing,S-ZORB.TE_5002.DACA,S-ZORB.PT_7107B.DACA,S-ZORB.FT_5201.PV,S-ZORB.SIS_TE_2802,S-ZORB.FC_5001.DACA,XiTing,S-ZORB.TE_3112.DACA,S-ZORB.TE_2608.DACA,S-ZORB.CAL.SPEED.PV,S-ZORB.TC_3102.DACA,S-ZORB.TE_5201.DACA,MiDu,S-ZORB.FT_1003.PV,S-ZORB.FT_9002.DACA,S-ZORB.LC_2601.DACA,FangTing,S-ZORB.PT_1501.PV,S-ZORB.PC_2401B.DACA,S-ZORB.PC_6001.PV,Xiu,S-ZORB.FC_1203.PV,S-ZORB.FC_5103.DACA,S-ZORB.PDC_2702.DACA,S-ZORB.TE_5006.DACA,S-ZORB.PT_7503B.DACA,S-ZORB.TE_1106.DACA.PV,S-ZORB.TXE_3201A.DACA
0.0000000000,0.0000000000,0.9587616485,4.4463378934,90.6000000000,188.0000000000,53.2300000000,146.0259239779,3.1452245500,123.4183563113,350.0000000000,2804.1619247399,24.4000000000,127.6936640665,327.4286756567,3.1221184608,297.4278900995,53.8588176882,726.0857142857,46.4816725000,300.0000000000,64.0895903226,22.3700000000,1.7737124000,1.7686692744,-0.1586056517,61.4871428571,7.0075203959,13399.8587206494,24.1057088202,150.0000000000,0.0057448635,156.0965962424,545.9104498587
1.0000000000,12.0000000000,0.8177362123,4.7290132713,90.5000000000,169.0000000000,52.3000000000,135.9938486936,0.2909542135,90.8011111681,336.1730305800,533.5228939707,26.4000000000,67.5683608041,148.7921039761,4.5949743534,290.7665922959,42.3559338203,731.3000000000,66.9912893388,557.9040221780,43.0146205778,21.3000000000,1.3966761209,1.6482081824,-0.1780821518,61.8800000000,8.3379062778,19691.8652518354,27.0174163013,143.2621857778,1.9070393037,79.2376082919,322.5492707505
2.0000000000,0.0000000000,0.9364052962,4.6821188948,90.7000000000,177.0000000000,52.3000000000,100.0000000000,3.1441983000,110.1749250202,319.2650714245,1910.7644527129,26.3142857143,65.0000000000,480.4349725952,2.9500000000,300.0000000000,72.4577619670,729.6142857143,44.4329555000,650.0000000000,67.7518558246,21.3857142857,1.8054995000,1.6776733182,-0.2000000000,61.7228571429,14.5918598110,8655.1809033602,18.2834827286,100.0000000000,0.0071604629,156.0965962424,300.0000000000
3.0000000000,0.0000000000,0.8939194025,4.8921181351,90.4000000000,159.0000000000,52.3000000000,150.0000000000,3.1449774000,118.6123064021,350.0000000000,2136.4034028803,26.1000000000,113.6016096129,500.0000000000,5.2765665975,150.0000000000,50.1145330229,725.4000000000,50.4176085000,650.0000000000,55.4573610162,21.6000000000,1.7481217000,1.4615102967,-0.2000000000,61.3300000000,9.3892986425,9169.1891511527,20.4712013564,110.5118919482,0.0062568148,156.0965962424,300.0000000000
4.0000000000,9.0000000000,0.8740780452,4.8300172196,89.6000000000,173.0000000000,52.2428571429,133.5321644728,1.0200952231,101.5122352958,328.9611225423,935.6028112534,26.6714285714,81.3285027543,493.6397700685,5.2389333786,176.2626906064,42.6532767849,725.4285714286,7.3280185885,578.4098413597,80.4861456618,21.0857142857,1.7582073581,0.7123390447,-0.0473127503,61.3328571429,8.3193259540,12987.8885986359,14.7857140518,148.2147220466,0.6270518507,152.1400378550,394.3253418413
5.0000000000,0.0000000000,0.9513585236,5.0185395825,91.0000000000,163.0000000000,52.1000000000,150.0000000000,3.1445000000,119.8245163838,350.0000000000,1999.0334999387,28.1000000000,81.9655425164,405.3708846733,3.4537895405,300.0000000000,30.0000000000,725.5000000000,48.2577155000,650.0000000000,94.8125639221,19.8000000000,1.7479362000,1.6260713294,0.0000000000,61.3400000000,10.6752259298,9456.6991149283,32.7869570623,150.0000000000,0.0062174866,156.0965962424,300.0000000000
6.0000000000,40.0000000000,0.8391677768,4.4635784863,90.4000000000,209.0000000000,51.3571428571,133.2083776666,2.5100188732,141.6800892168,324.1212023084,2585.4133015002,28.4142857143,68.0542740765,379.2777041040,4.5819881260,174.1315024037,82.9382700646,725.5000000000,6.0549638007,559.0282970385,76.8463443775,20.2285714286,1.5360816219,2.0050915727,-0.1533039962,61.3400000000,6.0350183325,24049.3753813706,10.9860672075,149.5209491465,0.7068548441,186.9948739726,436.2521009557
7.0000000000,0.0000000000,0.8988922453,4.5934994079,90.5000000000,195.0000000000,49.5000000000,150.0000000000,3.1448648500,127.0170386161,345.8361534438,2078.5743339820,29.2000000000,65.0000000000,391.4046894904,5.3337331748,150.0000000000,60.7035549613,725.5000000000,47.5254760000,607.9692591709,85.7149882706,21.3000000000,1.8220377000,1.4394644494,-0.2000000000,61.3400000000,15.0000000000,15237.5314614162,20.9869422003,118.6245782413,0.0064786364,156.0965962424,389.7335717473
8.0000000000,110.0000000000,0.9566052139,5.2650826190,90.4000000000,165.0000000000,49.8571428571,141.8782361923,1.4465879370,89.7417293210,342.4757193112,1206.6904324596,29.0714285714,138.6546812744,239.6897910662,3.2507200194,270.6504118568,63.3954520047,725.4428571429,13.3386231356,492.4040781426,80.8875265551,21.0714285714,0.2939343059,1.1676716089,-0.1211203015,61.3371428571,9.6026698762,12527.4522598385,13.4865448140,119.6700816956,0.3041214128,10.3931721612,379.4775047239
9.0000000000,0.0000000000,0.9287331222,4.7567901650,90.2000000000,159.0000000000,50.2142857143,143.3045650746,3.1464185500,123.5384004115,350.0000000000,2855.6214119237,28.9428571429,65.0000000000,443.3691107038,2.9500000000,150.0000000000,32.4535411935,725.3857142857,51.6357190000,608.6623359889,85.9172104703,20.8428571429,1.7956896500,1.5374635556,0.0000000000,61.3342857143,15.0000000000,18354.6219110085,27.3307198124,100.0000000000,0.0046623976,156.0965962424,331.8238633816
