RON,Liu,BaoHeTing,S-ZORB.TE_5002.DACA,S-ZORB.PT_7107B.DACA,S-ZORB.FT_5201.PV,S-ZORB.SIS_TE_2802,S-ZORB.FC_5001.DACA,XiTing,S-ZORB.TE_3112.DACA,S-ZORB.TE_2608.DACA,S-ZORB.CAL.SPEED.PV,S-ZORB.TC_3102.DACA,S-ZORB.TE_5201.DACA,MiDu,S-ZORB.FT_1003.PV,S-ZORB.FT_9002.DACA,S-ZORB.LC_2601.DACA,FangTing,S-ZORB.PT_1501.PV,S-ZORB.PC_2401B.DACA,S-ZORB.PC_6001.PV,Xiu,S-ZORB.FC_1203.PV,S-ZORB.FC_5103.DACA,S-ZORB.PDC_2702.DACA,S-ZORB.TE_5006.DACA,S-ZORB.PT_7503B.DACA,S-ZORB.TE_1106.DACA.PV,S-ZORB.TXE_3201A.DACA
90.6000000000,188.0000000000,53.2300000000,121.4455850000,3.1452245500,117.5144850000,273.2371800000,2564.2633500000,24.4000000000,72.7914145000,421.6276300000,3.3249448000,164.4208750000,44.9203445000,726.0857142857,46.4816725000,452.7966200000,66.5640665000,22.3700000000,1.7737124000,1.7642931885,-0.1290291765,61.4871428571,11.8763785000,13796.4370000000,28.5160615000,139.5331350000,0.0057448635,156.0965962424,367.6222550000
90.5000000000,169.0000000000,52.3000000000,121.9972200000,3.1453547000,110.8190400000,282.0436450000,2277.3611000000,26.4000000000,74.6745235000,452.1405150000,3.3211691000,171.6167600000,49.9613870000,731.3000000000,43.8108870000,470.7347300000,67.0906325000,21.3000000000,1.8960905500,1.6627814400,-0.1442254300,61.8800000000,11.4190750000,11375.4760000000,28.9252320000,138.8560500000,0.0071203938,156.0965962424,369.8898450000
90.7000000000,177.0000000000,52.3000000000,121.4283400000,3.1441983000,119.9549350000,274.1666700000,2117.8925000000,26.3142857143,78.4922120000,476.7668050000,3.3195686000,201.8724850000,49.7545845000,729.6142857143,44.4329555000,459.3509500000,67.7122650000,21.3857142857,1.8054995000,1.6364596205,-0.1506751850,61.7228571429,11.5725925000,7960.7428500000,27.8454335000,139.1138200000,0.0071604629,156.0965962424,366.7718150000
90.4000000000,159.0000000000,52.3000000000,123.5045450000,3.1449774000,119.2924650000,270.0702050000,2078.1085500000,26.1000000000,71.8479915000,470.5445600000,3.2102110000,170.7984950000,50.0399840000,725.4000000000,50.4176085000,438.9963900000,67.3308160000,21.6000000000,1.7481217000,1.4818313055,-0.1504268650,61.3300000000,11.7340535000,9110.9802000000,29.1200410000,139.2139700000,0.0062568148,156.0965962424,358.5843050000
89.6000000000,173.0000000000,52.2428571429,123.4737750000,3.1435440000,110.9420700000,268.0220000000,2057.8499500000,26.6714285714,78.3558890000,478.3633350000,3.1788315500,203.6756600000,49.9008360000,725.4285714286,52.7068930000,401.7518000000,68.5377105000,21.0857142857,1.7055750500,1.5646742850,-0.1512797950,61.3328571429,11.6739130000,8756.6961500000,27.1506730000,139.2114450000,0.0065120162,156.0965962424,366.2144350000
91.0000000000,163.0000000000,52.1000000000,124.7589500000,3.1445000000,120.3151000000,280.1175200000,1940.6934000000,28.1000000000,77.7593655000,470.7068900000,3.1905268500,209.0654900000,49.9926165000,725.5000000000,48.2577155000,394.7847750000,69.6717360000,19.8000000000,1.7479362000,1.6023757100,-0.1512872150,61.3400000000,12.1417985000,9186.7719500000,28.8000280000,138.2596850000,0.0062174866,156.0965962424,361.1307100000
90.4000000000,209.0000000000,51.3571428571,123.3636200000,3.1443541500,109.3000900000,279.2017600000,1863.9409500000,28.4142857143,78.1321770000,484.4279250000,3.1757537000,210.9762400000,50.6749890000,725.5000000000,47.8877695000,434.8490000000,69.0885545000,20.2285714286,1.7974426000,1.5952668800,-0.1510403150,61.3400000000,11.8509670000,6280.7786500000,27.6470270000,137.9485600000,0.0063910812,156.0965962424,366.4874350000
90.5000000000,195.0000000000,49.5000000000,125.7314250000,3.1448648500,123.4682900000,291.1630050000,2229.6758000000,29.2000000000,76.3346480000,459.7889300000,3.1379050000,195.5859100000,54.4238955000,725.5000000000,47.5254760000,405.3924500000,68.3941135000,21.3000000000,1.8220377000,1.4653080150,-0.1263019265,61.3400000000,11.3308145000,15596.7595000000,28.3336980000,139.7603450000,0.0064786364,156.0965962424,365.9616400000
90.4000000000,165.0000000000,49.8571428571,123.5577750000,3.1446369500,113.1877550000,280.8943850000,2334.8247500000,29.0714285714,74.4432180000,463.1457100000,3.1472846000,206.7791250000,55.0987745000,725.4428571429,45.2804220000,433.0194300000,69.1840645000,21.0714285714,1.6151659000,1.6381040600,-0.1495066900,61.3371428571,11.2780240000,13670.3040000000,29.4335475000,139.7524200000,0.0050363303,156.0965962424,362.9974700000
90.2000000000,159.0000000000,50.2142857143,124.7027100000,3.1464185500,126.0657600000,283.2768700000,2434.0240000000,28.9428571429,77.8934000000,474.5038650000,3.1432359000,196.6293900000,52.7463045000,725.3857142857,51.6357190000,404.8850050000,69.1441345000,20.8428571429,1.7956896500,1.5445472950,-0.1512822250,61.3342857143,11.6863755000,17662.7490000000,28.9812950000,139.4476050000,0.0046623976,156.0965962424,364.2996150000
90.2000000000,85.0000000000,52.0000000000,113.6945200000,3.1472577500,53.6293545000,278.3012850000,2629.7533500000,28.3000000000,73.8704410000,466.3654400000,2.9776960500,164.2543400000,58.9880520000,725.1000000000,55.4712015000,469.4456400000,64.0500585000,19.7000000000,1.8286660500,1.4864539300,-0.1480950000,61.3200000000,9.2660978500,8434.9673000000,21.3663110000,139.0237750000,0.0046750098,156.0965962424,364.7811300000
90.2000000000,117.0000000000,53.0000000000,114.1155550000,3.1463553000,54.3212975000,282.5534250000,3123.3103500000,28.1222222222,73.9356500000,459.9965300000,2.9717156000,164.6538800000,58.2535855000,723.5222222222,55.1119030000,409.3376200000,63.8932585000,18.8777777778,1.9336481000,1.4046818040,-0.1506934050,61.2555555556,9.4415869500,13886.3605000000,16.5598635000,140.4593500000,0.0051980714,156.0965962424,364.8102750000
89.2000000000,103.0000000000,55.5000000000,113.5482050000,3.1471008500,54.8241040000,276.0088650000,3578.0257500000,27.6777777778,73.1489195000,391.9791450000,2.9981526500,168.3723500000,54.5449980000,719.5777777778,50.0476785000,415.7259500000,64.2751875000,16.8222222222,1.8188346500,1.3283529700,-0.1186272625,61.0944444444,9.1072348000,19266.1930000000,14.2224980000,140.4433650000,0.0061781475,156.0965962424,343.3376450000
86.8000000000,83.0000000000,56.5000000000,113.7858100000,3.1507432000,48.8799970000,271.3018950000,3519.0303500000,27.5000000000,72.8802475000,397.7195100000,3.0643969000,192.9104650000,53.2732450000,718.0000000000,54.0139530000,382.8427350000,66.2728640000,16.0000000000,1.5964786000,1.3687841890,-0.1389505450,61.0300000000,9.4802444500,18514.8260000000,25.3674020000,142.5052000000,0.0053011883,156.0965962424,340.0120050000
87.8000000000,121.0000000000,55.7000000000,112.3565850000,3.1473635000,55.4908510000,272.6404200000,2871.1648500000,27.2000000000,73.7965520000,486.3985050000,3.2574774000,181.8071550000,58.6000205000,715.1000000000,53.5690025000,439.1783100000,65.5499560000,17.1000000000,1.8176357000,1.6042929400,-0.1491968350,61.0000000000,9.8266784000,14580.9950000000,24.8171195000,135.0089600000,0.0048033516,156.0965962424,384.7027150000
