S-ZORB.CAL_1.CANGLIANG.PV,S-ZORB.PC_3301.DACA,S-ZORB.SIS_TE_2802,S-ZORB.PC_9002.DACA,S-ZORB.PT_2106.DACA.PV,S-ZORB.TE_1604.DACA,S-ZORB.PDC_2702.DACA,XiTing,S-ZORB.TE_1107.DACA.PV,S-ZORB.FC_5001.DACA,S-ZORB.PC_2401B.PIDA.OP,S-ZORB.TE_6001.DACA,Liu,S-ZORB.PT_2901.DACA,S-ZORB.LC_2601.DACA,S-ZORB.PT_7503B.DACA,Xiu,S-ZORB.TE_5006.DACA,S-ZORB.TE_2608.DACA,S-ZORB.TE_2104.DACA.PV,S-ZORB.TE_3112.DACA,S-ZORB.FT_1503.DACA.PV,S-ZORB.TE_1102.DACA.PV,S-ZORB.FT_1003.PV,S-ZORB.TE_2603.DACA,S-ZORB.PC_2401.PIDA.OP,S-ZORB.TE_5003.DACA,BaoHeTing,S-ZORB.PDT_2704.DACA,S-ZORB.AT-0010.DACA.PV
2.0454363000,0.3495650750,273.2371800000,0.3882386050,5.6181371591,417.3852750000,28.5160615000,24.4000000000,118.6395946803,2564.2633500000,28.9315748224,392.7098200000,188.0000000000,511.1600550000,66.5640665000,0.0057448635,61.4871428571,139.5331350000,421.6276300000,425.7433869848,72.7914145000,2216.4093500000,425.9295150000,46.4816725000,369.3472250000,45.7576121599,72.3108370000,53.2300000000,46.2276530000,0.5442456950
2.0259738500,0.3496984500,282.0436450000,0.3871551600,5.6181371591,413.9413250000,28.9252320000,26.4000000000,118.6395946803,2277.3611000000,28.9315748224,378.9023350000,169.0000000000,522.7631250000,67.0906325000,0.0071203938,61.8800000000,138.8560500000,452.1405150000,425.7433869848,74.6745235000,2370.5874000000,421.5343650000,43.8108870000,379.7862000000,45.7576121599,73.6366430000,52.3000000000,44.7799060000,0.5410381200
1.9646958000,0.3501105050,274.1666700000,0.3884460150,5.6181371591,413.6012500000,27.8454335000,26.3142857143,118.6395946803,2117.8925000000,28.9315748224,376.3311700000,177.0000000000,530.5253950000,67.7122650000,0.0071604629,61.7228571429,139.1138200000,476.7668050000,425.7433869848,78.4922120000,2326.4653500000,425.2584200000,44.4329555000,401.4462400000,45.7576121599,73.9420970000,52.3000000000,48.1029260000,0.5412606300
2.0390406000,0.3498749050,270.0702050000,0.3858464700,5.6181371591,413.8424400000,29.1200410000,26.1000000000,118.6395946803,2078.1085500000,28.9315748224,376.0563100000,159.0000000000,530.3514100000,67.3308160000,0.0062568148,61.3300000000,139.2139700000,470.5445600000,425.7433869848,71.8479915000,2495.2236000000,424.4061950000,50.4176085000,375.1564350000,45.7576121599,74.0271030000,52.3000000000,47.8387240000,0.5339916450
1.9868998500,0.3497151350,268.0220000000,0.3873692550,5.6181371591,413.7326300000,27.1506730000,26.6714285714,118.6395946803,2057.8499500000,28.9315748224,362.3335000000,173.0000000000,524.0286750000,68.5377105000,0.0065120162,61.3328571429,139.2114450000,478.3633350000,425.7433869848,78.3558890000,2807.7891000000,428.5147400000,52.7068930000,399.7194600000,45.7576121599,72.9786375000,52.2428571429,38.7424185000,0.5418540000
1.9968999500,0.3499481650,280.1175200000,0.3874835400,5.6181371591,413.9657750000,28.8000280000,28.1000000000,118.6395946803,1940.6934000000,28.9315748224,367.2815150000,163.0000000000,523.8057500000,69.6717360000,0.0062174866,61.3400000000,138.2596850000,470.7068900000,425.7433869848,77.7593655000,2832.0817500000,427.4581550000,48.2577155000,406.2536450000,45.7576121599,70.0663350000,52.1000000000,49.3379900000,0.5465825600
1.9515631000,0.3498223700,279.2017600000,0.3874056100,5.6181371591,414.0941700000,27.6470270000,28.4142857143,118.6395946803,1863.9409500000,28.9315748224,372.5495100000,209.0000000000,524.9934250000,69.0885545000,0.0063910812,61.3400000000,137.9485600000,484.4279250000,425.7433869848,78.1321770000,2710.0612500000,426.3754150000,47.8877695000,407.7108450000,45.7576121599,70.4797895000,51.3571428571,49.6394545000,0.5529983200
1.9994657500,0.3498010500,291.1630050000,0.3880948450,5.6181371591,414.5292150000,28.3336980000,29.2000000000,118.6395946803,2229.6758000000,28.9315748224,385.6459100000,195.0000000000,529.7577850000,68.3941135000,0.0064786364,61.3400000000,139.7603450000,459.7889300000,425.7433869848,76.3346480000,2378.5758500000,421.7465200000,47.5254760000,390.8954850000,45.7576121599,69.5827535000,49.5000000000,46.0139000000,0.5254995350
2.0390993500,0.3501906650,280.8943850000,0.3932970800,5.6181371591,414.5172000000,29.4335475000,29.0714285714,118.6395946803,2334.8247500000,28.9315748224,380.0820250000,165.0000000000,516.1816450000,69.1840645000,0.0050363303,61.3371428571,139.7524200000,463.1457100000,425.7433869848,74.4432180000,2674.4291500000,424.3109650000,45.2804220000,391.2236100000,45.7576121599,69.8436640000,49.8571428571,48.4489480000,0.5496788200
2.0247724000,0.3502728350,283.2768700000,0.3885844200,5.6181371591,413.9336300000,28.9812950000,28.9428571429,118.6395946803,2434.0240000000,28.9315748224,376.7372200000,159.0000000000,521.2549950000,69.1441345000,0.0046623976,61.3342857143,139.4476050000,474.5038650000,425.7433869848,77.8934000000,2561.5901500000,424.6294850000,51.6357190000,397.9289350000,45.7576121599,70.4750795000,50.2142857143,44.7282080000,0.5500129650
1.5332641500,0.3499880650,278.3012850000,0.3880421500,5.6181371591,413.5200500000,21.3663110000,28.3000000000,118.6395946803,2629.7533500000,28.9315748224,382.3190250000,85.0000000000,517.9774400000,64.0500585000,0.0046750098,61.3200000000,139.0237750000,466.3654400000,425.7433869848,73.8704410000,2875.6483500000,421.8267450000,55.4712015000,334.0568450000,45.7576121599,72.6856825000,52.0000000000,44.2613545000,0.5447833800
1.2713119500,0.3498845400,282.5534250000,0.3880018900,5.6181371591,413.8127200000,16.5598635000,28.1222222222,118.6395946803,3123.3103500000,28.9315748224,383.6693400000,117.0000000000,518.5612400000,63.8932585000,0.0051980714,61.2555555556,140.4593500000,459.9965300000,425.7433869848,73.9356500000,2626.2982000000,421.5861100000,55.1119030000,330.6669150000,45.7576121599,70.8606785000,53.0000000000,44.8050200000,0.5409825300
1.2910217500,0.3499902950,276.0088650000,0.3893070550,5.6181371591,413.8612250000,14.2224980000,27.6777777778,118.6395946803,3578.0257500000,28.9315748224,386.4141000000,103.0000000000,506.3584100000,64.2751875000,0.0061781475,61.0944444444,140.4433650000,391.9791450000,425.7433869848,73.1489195000,2201.8781000000,421.2547700000,50.0476785000,316.0106000000,45.7576121599,68.8929255000,55.5000000000,41.9350615000,0.5466936550
